	v0	t0:	det_cost	sto_cost	dum_cost
0	5	0.0	1.329202928720373	1.3287692000000058	1.5394687500000097
1	5	2.0	1.329202928720373	1.3287692000000058	1.5394687500000097
2	5	4.0	1.329202928720373	1.3287692000000058	1.5394687500000097
3	5	6.0	1.329202928720373	1.3287692000000058	1.5394687500000097
4	5	8.0	1.329202928720373	1.3287692000000058	1.5394687500000097
5	5	10.0	1.329202928720373	1.3287692000000058	1.5394687500000097
6	5	12.0	1.329202928720373	1.3287692000000058	1.5394687500000097
7	5	14.0	1.329202928720373	1.3287692000000058	1.5394687500000097
8	5	16.0	1.329202928720373	1.3287692000000058	1.5394687500000097
9	5	18.0	1.329202928720373	1.3287692000000058	1.5394687500000097
10	5	20.0	1.329202928720373	1.3287692000000058	1.5394687500000097
11	5	22.0	1.329202928720373	1.3287692000000058	28.973468749985994
12	5	24.0	1.329202928720373	1.3287692000000058	27.618718749985792
13	5	26.0	1.329202928720373	9.089433065429368	17.523031249984278
14	5	28.0	8.076650934198486	8.060284482030909	15.523031249984173
15	5	30.0	7.522982728818685		13.523031249984216
16	5	32.0	6.973219802781406		11.523031249984259
17	5	34.0	6.417398513492719		9.523031249984301
18	5	36.0	5.864439810444592		7.523031249984333
19	5	38.0	5.3144584658791185		5.5133906249999995
20	5	40.0	4.76355517089188		4.981468749999997
21	5	42.0	4.212982830595724		4.470765624999989
22	5	44.0	3.6570301074548595		3.9840312499999815
23	5	46.0	3.1003788097675864		3.5185156249999743
24	5	48.0	2.523983541817091		3.076968749999966
25	5	50.0	1.9739583916749806		2.6593906249999555
26	5	52.0	1.444439382605839	2.2219375281249976	2.2630312499999845
27	5	54.0	1.329202928720373	1.495782361132817	1.8906406250000123
28	5	56.0	1.329202928720373	1.3287692000000058	1.5394687500000097
